,group,phase,predictor,associative_strength,Predictors by Phase,trial
0,Experiment Group,Conditioning,A,0.0,Experiment Group-A,1
1,Experiment Group,Conditioning,A,0.1,Experiment Group-A,2
2,Experiment Group,Conditioning,A,0.19,Experiment Group-A,3
3,Experiment Group,Conditioning,A,0.271,Experiment Group-A,4
4,Experiment Group,Conditioning,A,0.34390000000000004,Experiment Group-A,5
5,Experiment Group,Conditioning,A,0.40951000000000004,Experiment Group-A,6
6,Experiment Group,Conditioning,A,0.46855900000000006,Experiment Group-A,7
7,Experiment Group,Conditioning,A,0.5217031000000001,Experiment Group-A,8
8,Experiment Group,Conditioning,A,0.5695327900000001,Experiment Group-A,9
9,Experiment Group,Conditioning,A,0.6125795110000001,Experiment Group-A,10
10,Experiment Group,Conditioning,A,0.6513215599000001,Experiment Group-A,11
11,Experiment Group,Extinction,A,0.6513215599000001,Experiment Group-A,1
12,Experiment Group,Extinction,A,0.5861894039100001,Experiment Group-A,2
13,Experiment Group,Extinction,A,0.527570463519,Experiment Group-A,3
14,Experiment Group,Extinction,A,0.4748134171671,Experiment Group-A,4
15,Experiment Group,Extinction,A,0.42733207545039,Experiment Group-A,5
16,Experiment Group,Extinction,A,0.38459886790535097,Experiment Group-A,6
17,Experiment Group,Extinction,A,0.3461389811148159,Experiment Group-A,7
18,Experiment Group,Extinction,A,0.3115250830033343,Experiment Group-A,8
19,Experiment Group,Extinction,A,0.28037257470300087,Experiment Group-A,9
20,Experiment Group,Extinction,A,0.25233531723270075,Experiment Group-A,10
21,Experiment Group,Extinction,A,0.22710178550943066,Experiment Group-A,11
